prot_type,server_ip,l4_type,rank_,traffic_gb,users,Total Traffic,% Traffic per server,Tope 30 Server
52233,195.201.108.108,1,1,1.325677,7,95.2898,1.39%,1
52233,51.195.39.214,1,3,0.979377,3,95.2898,1.03%,2
52233,51.195.63.13,1,4,0.941218,3,95.2898,0.99%,3
52233,5.83.165.14,1,6,0.896742,3,95.2898,0.94%,4
52233,85.190.157.170,1,7,0.84912,3,95.2898,0.89%,5
52233,88.198.16.22,1,8,0.730955,2,95.2898,0.77%,6
52233,5.83.170.128,1,9,0.700384,1,95.2898,0.74%,7
52233,5.83.171.122,1,10,0.662524,2,95.2898,0.70%,8
52233,78.129.240.145,1,11,0.600664,3,95.2898,0.63%,9
52233,5.101.166.141,1,12,0.569977,3,95.2898,0.60%,10
52233,217.164.5.46,1,13,0.559824,2,95.2898,0.59%,11
52233,54.37.200.239,1,14,0.558861,3,95.2898,0.59%,12
52233,54.175.154.167,1,15,0.556857,538,95.2898,0.58%,13
52233,51.89.99.168,1,16,0.548496,5,95.2898,0.58%,14
52233,31.214.160.100,1,17,0.541841,5,95.2898,0.57%,15
52233,54.167.123.147,1,18,0.535829,519,95.2898,0.56%,16
52233,5.83.171.222,1,19,0.526498,1,95.2898,0.55%,17
52233,5.83.171.247,1,20,0.515151,4,95.2898,0.54%,18
52233,45.159.7.99,1,21,0.508365,2,95.2898,0.53%,19
52233,18.212.26.159,1,22,0.50736,499,95.2898,0.53%,20
