,IP_Address,Country,City,Longitude,Latitude
0,195.201.108.108,Germany,Falkenstein,12.3713,50.4779
1,51.195.39.214,France,Roubaix,3.1746,50.6942
2,51.195.63.13,France,Roubaix,3.1746,50.6942
3,5.83.165.14,Germany,Karlsruhe,8.3858,49.0047
4,85.190.157.170,United States of America,Los Angeles,-118.2437,34.0522
5,88.198.16.22,Germany,Nuremberg,11.0683,49.4478
6,5.83.170.128,Germany,Karlsruhe,8.3858,49.0047
7,5.83.171.122,Germany,Karlsruhe,8.3858,49.0047
8,78.129.240.145,United Kingdom of Great Britain and Northern Ireland,Leeds,0.6068,51.2468
9,5.101.166.141,Germany,Karlsruhe,8.3858,49.0047
10,217.164.5.46,United Arab Emirates,Al Ain,55.7606,24.1917
11,54.37.200.239,Germany,Limburg an der Lahn,8.0503,50.3836
12,54.175.154.167,United States of America,Ashburn,-77.4875,39.0437
13,51.89.99.168,France,Roubaix,3.1746,50.6942
14,31.214.160.100,Germany,Hamburg,10.0153,53.5753
15,54.167.123.147,United States of America,Ashburn,-77.4875,39.0437
16,5.83.171.222,Germany,Karlsruhe,8.3858,49.0047
17,5.83.171.247,Germany,Karlsruhe,8.3858,49.0047
18,45.159.7.99,Germany,Frankfurt am Main,8.6842,50.1155
19,18.212.26.159,United States of America,Ashburn,-77.4875,39.0437
